name,cwe_id
algoliasearch-helper,CWE-915
alto-saxophone,CWE-311
angular,CWE-1321
angular,CWE-79
angular,CWE-79
angular,CWE-770
angular,CWE-1333
angular,CWE-1333
angular,CWE-79
angular,CWE-20
angular,CWE-1333
angular,CWE-79
angular,CWE-915
angular,CWE-1333
angular,CWE-79
angular-http-server,CWE-22
angular-http-server,CWE-22
angular-jwt,CWE-20
angular-server-side-configuration,CWE-538
angular-server-side-configuration,CWE-200
angular-ui-notification,CWE-79
another-date-picker,CWE-506
apexcharts,CWE-79
apiconnect-cli-plugins,CWE-78
apk-parser,CWE-311
apollo-server,CWE-79
apollo-server,CWE-352
apollo-server-core,CWE-524
apollo-server-core,CWE-79
apostrophe,CWE-601
apostrophe,CWE-400
apostrophe,CWE-79
apostrophe,CWE-613
appium-chromedriver,CWE-311
arrayfire-js,CWE-311
ascii-art,CWE-77
assign-deep,CWE-915
assign-deep,CWE-1321
assign-deep,CWE-20
assign-deep,CWE-1321
assign-deep,CWE-471
async,CWE-1321
async-git,CWE-78
async-git,CWE-78
atlasboard,CWE-22
aurelia-framework,CWE-79
auth0,CWE-209
auth0-js,CWE-352
auth0-js,CWE-522
auth0-js,CWE-200
auth0-js,CWE-352
auth0-lock,CWE-79
auth0-lock,CWE-79
auth0-lock,CWE-79
auth0-lock,CWE-79
aws-cdk-lib,CWE-863
aws-cdk-lib,CWE-266
aws-iot-device-sdk-v2,CWE-295
aws-iot-device-sdk-v2,CWE-295
aws-iot-device-sdk-v2,CWE-295
aws-iot-device-sdk-v2,CWE-295
aws-lambda,CWE-78
aws-sdk,CWE-1321
axios,CWE-400
axios,CWE-1333
axios,CWE-20
axios,CWE-755
axios,CWE-918
backbone,CWE-79
baobab,CWE-1321
base64-url,CWE-125
base64url,CWE-125
bassmaster,CWE-94
bcoin,CWE-400
bcrypt,CWE-190
bcrypt,CWE-327
bestzip,CWE-78
bestzip,CWE-77
bigint-money,CWE-682
bignum,CWE-248
bignum,CWE-506
bionode-sra,CWE-269
bionode-sra,CWE-311
bittorrent-dht,CWE-201
bl,CWE-126
bl,CWE-125
bl,CWE-200
