Feature,Importance
inactive_contributors,0.1357926372265141
attention,0.11049074045979372
issue_comments,0.07430011209797566
issue_age_avg,0.06541446661349282
stars,0.05994232289457818
code_change_lines_add,0.05434163525596555
change_requests_reviews,0.05098625960740177
issue_response_time_avg,0.05075661525510142
bus_factor,0.04802277943538921
issues_new,0.039354163613355954
change_request_response_time_avg,0.03884780091714803
change_request_age_avg,0.03831945616676666
change_requests_accepted,0.037206932114310504
activity,0.034550111239747286
issue_resolution_duration_avg,0.028961639641175096
issues_and_change_request_active,0.02599613174473404
code_change_lines_remove,0.018459029101992996
issues_closed,0.017374979074793375
code_change_lines_sum,0.016553056023707977
new_contributors,0.014558719990809715
change_requests,0.013837452457679509
change_request_resolution_duration_avg,0.013827689440542001
participants,0.012105269627024367
