Feature,Importance
issue_age_avg,0.0707711148671153
change_request_age_avg,0.05997144092995416
inactive_contributors,0.05820520064472572
activity,0.057917024071355586
attention,0.05695189337838072
code_change_lines_remove,0.05493945076529493
stars,0.050843761875619634
code_change_lines_sum,0.05057015883085841
code_change_lines_add,0.04946631260122997
issue_comments,0.048196796645686324
issue_response_time_avg,0.04737926243775619
change_request_resolution_duration_avg,0.04528586748128682
change_request_response_time_avg,0.04219500871694448
issue_resolution_duration_avg,0.04215024830397441
issues_and_change_request_active,0.040619017415421066
participants,0.03561310265766626
change_requests,0.031501121287738056
issues_new,0.029905198422684638
bus_factor,0.029777259521040773
change_requests_accepted,0.028415113935304513
issues_closed,0.02768227641995398
change_requests_reviews,0.022920717032484883
new_contributors,0.018722651757523145
