Feature,Importance
issue_age_avg,0.14144478720814782
attention,0.1165100146220058
inactive_contributors,0.11043782495313666
change_request_age_avg,0.07046657568131398
issue_comments,0.05561311901661524
issue_response_time_avg,0.05453795225044463
change_request_response_time_avg,0.04865817187678344
issues_new,0.04252172853729179
stars,0.042437221692395784
issue_resolution_duration_avg,0.03738448084135938
change_request_resolution_duration_avg,0.03456078870406482
bus_factor,0.03376924818674458
code_change_lines_add,0.0293264013757409
change_requests_reviews,0.027201899078359865
code_change_lines_remove,0.026571693614278698
issues_and_change_request_active,0.02611520708880518
activity,0.021928299073571456
new_contributors,0.02077506604614546
code_change_lines_sum,0.016675290324323945
change_requests,0.013325059430349213
change_requests_accepted,0.012892084805396742
participants,0.012546369781125515
issues_closed,0.004300715811598998
